ID,course1,course2
492c677be00bb8223ebbaffa3aff2549,Анализ неструктурированных данных,Глубинное обучение в обработке звука
496ea4f0d4abe264b1bb1b80eb3830c5,Высокопроизводительные вычисления,-
4ab8340cfb08da86c14a2cc3c3fad908,Statistical Learning Theory,-
4add93dff84a52a0b3d690f07aa081d4,Безопасность компьютерных систем,-
4b019ecb89626c8752a1d962b63c8a4b,Язык SQL,-
4d7035f3a6d0c55c4fbcf4031679545a,Язык SQL,-
4df9699d2022802f80b3e6426d6976d7,Безопасность компьютерных систем,Statistical Learning Theory
50f6d5b6a7fd6c8b1b8959f9ce1f808d,Анализ неструктурированных данных,-
518a8ad312d0db47e23eeadf9f4220d1,Безопасность компьютерных систем,-
54b211907aac0ebbb8f853ab1fc4eecb,Сбор и обработка данных с помощью краудсорсинга,-
573e2218c3fe3ffc1894edc12432d315,Анализ неструктурированных данных,Statistical Learning Theory
57c331c5a1b473501d86dfd23421bb5c,Принятие решений в условиях риска и неопределённости,-
59241a17fc6c01fa7d209ef20712d31c,Моделирование временных рядов,-
59347ad5e9d8099a9a8fa58b841bdf05,Теория баз данных,Моделирование временных рядов
594c54bb30547b44c9cc617aa2754f10,Безопасность компьютерных систем,-
5a66e3b77559d14dd20fc4df99671688,Язык SQL,-
5a6dfaade650ca8bb2d081342df303e8,Матричные вычисления,-
5a6f07c1f6186408b43f0f8e729168e9,Моделирование временных рядов,-
5a733a19a3bdad95c1b5eac59c5b764b,Сбор и обработка данных с помощью краудсорсинга,-
5a9b8ac11ad05b39a58b0e04a263bf4c,Глубинное обучение в обработке звука,Statistical Learning Theory
5ab47e4eef1a7c1899da4da200049038,Матричные вычисления,Моделирование временных рядов
5ac46b96ef57b09c77dc50a6da3f39a5,Анализ неструктурированных данных,-
5bb63d6635c5f4c530b727fe1d6d84bf,Глубинное обучение в обработке звука,-
5c49473012411a1eee72f8ea63767adf,Теория баз данных,-
5d1deb0ae3a69348a018881ac785fd90,Высокопроизводительные вычисления,Statistical Learning Theory
5d76b97bcf684f8a1ec03057dd94d416,Высокопроизводительные вычисления,-
5d9b916c90c54a5cba29b2618a029e66,Сбор и обработка данных с помощью краудсорсинга,-
5d9c9087b5a851ecb6bba1bc916b684f,Матричные вычисления,-
5daee1bd98559bb2c52373e416942225,Statistical Learning Theory,-
5ee2ad618729a6dc3bdb7f2858826ef0,Теория баз данных,-
6256514074c4680d1b14e4f2a863fd78,Statistical Learning Theory,-
6257850b5decedd464341a5b763e3b4a,Теория баз данных,-
6338b6eeb16faedc58d30d2f45c89a4c,Моделирование временных рядов,Сбор и обработка данных с помощью краудсорсинга
635e9ca4fcf26a2bd38b8488a8edfca5,???,-
6388c7920a7d454d2db81430f1f231c4,Матричные вычисления,-
64173586abab6f7a172946c8c74bde0d,Высокопроизводительные вычисления,-
64b63332f8e86fa32969cfe0c167dbea,Сбор и обработка данных с помощью краудсорсинга,-
651f2fa7d270b436246ddd7d05880bfa,Теория баз данных,-
6541d659f05e45043d1b65e98e16a718,Матричные вычисления,-
674d6e333a907d65780e9618436f1952,Анализ неструктурированных данных,Байесовские методы машинного обучения
67e3336ac46b6030f7b25853154783c6,Безопасность компьютерных систем,-
