ID,course1,course2
492c677be00bb8223ebbaffa3aff2549,Генеративные модели в машинном обучении,Проектирование и разработка высоконагруженных сервисов
496ea4f0d4abe264b1bb1b80eb3830c5,Численные методы,-
4ab8340cfb08da86c14a2cc3c3fad908,Дискретная оптимизация,-
4add93dff84a52a0b3d690f07aa081d4,Дискретная оптимизация,-
4b019ecb89626c8752a1d962b63c8a4b,Компьютерные сети,-
4d7035f3a6d0c55c4fbcf4031679545a,Машинное обучение 2,-
4df9699d2022802f80b3e6426d6976d7,Компьютерное зрение,Проектирование и разработка высоконагруженных сервисов
50f6d5b6a7fd6c8b1b8959f9ce1f808d,Обучение с подкреплением,-
518a8ad312d0db47e23eeadf9f4220d1,Промышленное программирование на языке Java,-
54b211907aac0ebbb8f853ab1fc4eecb,Машинное обучение 2,-
573e2218c3fe3ffc1894edc12432d315,Конфликты и кооперация,Обучение с подкреплением
57c331c5a1b473501d86dfd23421bb5c,Анализ данных в бизнесе,-
59241a17fc6c01fa7d209ef20712d31c,Численные методы,-
59347ad5e9d8099a9a8fa58b841bdf05,Анализ данных в бизнесе,-
594c54bb30547b44c9cc617aa2754f10,Методы сжатия и передачи медиаданных,-
5a66e3b77559d14dd20fc4df99671688,???,-
5a6dfaade650ca8bb2d081342df303e8,Дополнительные главы прикладной статистики,-
5a6f07c1f6186408b43f0f8e729168e9,Компьютерные сети,-
5a733a19a3bdad95c1b5eac59c5b764b,Проектирование и разработка высоконагруженных сервисов,-
5a9b8ac11ad05b39a58b0e04a263bf4c,Конфликты и кооперация,Обучение с подкреплением
5ab47e4eef1a7c1899da4da200049038,Численные методы,-
5ac46b96ef57b09c77dc50a6da3f39a5,Обучение с подкреплением,-
5bb63d6635c5f4c530b727fe1d6d84bf,Методы сжатия и передачи медиаданных,-
5c49473012411a1eee72f8ea63767adf,???,-
5d1deb0ae3a69348a018881ac785fd90,Символьные вычисления,Методы сжатия и передачи медиаданных
5d76b97bcf684f8a1ec03057dd94d416,Проектирование и разработка высоконагруженных сервисов,-
5d9b916c90c54a5cba29b2618a029e66,Промышленное программирование на языке Java,-
5d9c9087b5a851ecb6bba1bc916b684f,Численные методы,-
5daee1bd98559bb2c52373e416942225,Анализ данных в бизнесе,-
5ee2ad618729a6dc3bdb7f2858826ef0,Компьютерные сети,-
6256514074c4680d1b14e4f2a863fd78,Анализ данных в бизнесе,-
6257850b5decedd464341a5b763e3b4a,Машинное обучение 2,-
6338b6eeb16faedc58d30d2f45c89a4c,Конфликты и кооперация,Обучение с подкреплением
635e9ca4fcf26a2bd38b8488a8edfca5,Дополнительные главы прикладной статистики,-
6388c7920a7d454d2db81430f1f231c4,???,-
64173586abab6f7a172946c8c74bde0d,Компьютерные сети,-
64b63332f8e86fa32969cfe0c167dbea,Машинное обучение 2,-
651f2fa7d270b436246ddd7d05880bfa,Дополнительные главы прикладной статистики,-
6541d659f05e45043d1b65e98e16a718,Компьютерные сети,-
674d6e333a907d65780e9618436f1952,Обучение с подкреплением,Компьютерное зрение
67e3336ac46b6030f7b25853154783c6,Дискретная оптимизация,-
67e4ec4fe5c0601815692fbd6d403fb7,Обучение с подкреплением,Проектирование и разработка высоконагруженных сервисов
68f1b5165e9e310fcf920fb903117061,Промышленное программирование на языке Java,-
6a93b58f867db41e822a03c26c1bd428,Системы баз данных,-
6a93fcbc79d0df6ddeba3b46739fc3d8,Компьютерное зрение,Генеративные модели в машинном обучении
6b3d72def53597696afb19faed1f8365,Дискретная оптимизация,-
6cd7de3774f07c65e44668cdf7e987b6,Анализ данных в бизнесе,-
6ed89e424179b0510e3f7c0cb7369ad6,Анализ данных в бизнесе,-
6ef08b5cfd42ecdd713466cb4b7b41b7,Конфликты и кооперация,-
6f1c603284d031570af2e4be6c1afdcb,Анализ данных в бизнесе,-
701078e1e897399f675e96bdda5fb149,Промышленное программирование на языке Java,-
7134f24c241836458335aa3abb8d8727,Обучение с подкреплением,Компьютерное зрение
71c8f779c794a59d749092a11a350557,Обучение с подкреплением,Методы сжатия и передачи медиаданных
723d5f32b699c971b4095a017c883ffa,Дополнительные главы прикладной статистики,-
72e79e6a79cb4025077b371cc6e54247,Анализ данных в бизнесе,-
73282cacef07625adb2f9b4e2d57240e,Дискретная оптимизация,-
7378a3c0caf8ce5fdbb1e4370b346cb7,Методы сжатия и передачи медиаданных,-
73fc0f1b300e6e49167b5f771586fe20,Промышленное программирование на языке Java,-
757ce29d3647ee4aff21bc1a62849805,Обучение с подкреплением,Проектирование и разработка высоконагруженных сервисов
75be5480aae801322ab8ee4b8f4517a3,Конфликты и кооперация,Обучение с подкреплением
760529fb42ad1fd50071e2ceeadaaedc,???,-
76d70b75a12f7b2ae593d02da6ed62ec,Компьютерные сети,-
77c7b37ee521df16ccff23ba50c893d4,Компьютерные сети,-
796d174c592006376963b8f31e818dbf,Численные методы,-
79d14db48e4737af731960ae212d5134,Методы сжатия и передачи медиаданных,???
79d226799eb1a34d5083fcc0ca933952,Промышленное программирование на языке Java,-
7a21ef645ecb42198be493dd65320e78,Анализ данных в бизнесе,-
7af276b31fb741aa81baa85aa5c82bd9,Проектирование и разработка высоконагруженных сервисов,-
7bf79897c5645954846e2e03ec803887,Дискретная оптимизация,-
7df351e9f3a719f6c29e811e2578fcc6,Компьютерные сети,-
7e844607673355cefa63252f558b69cb,Компьютерные сети,-
7f8feb54319e52cb63ad437f4128a9d8,Машинное обучение 2,-
7f98e4487c7a910567f2d841e5e764c3,Обучение с подкреплением,-
7f9d0f835bf734ccd4619041c3475c1c,Дискретная оптимизация,-
7fcf56aae6836855a689000a50e80360,Символьные вычисления,???
7fe7df0d207babbf30249b3063ac1f26,Проектирование и разработка высоконагруженных сервисов,-
8047c18b3c531c6f47931e0744f3e028,???,-
80a0660d40d5e2f3e3b9bb8a4383db74,Анализ данных в бизнесе,-
813663487952e66e7c39d29b0931206d,Компьютерные сети,-
82bc94a50a6c08a67ad9bf3d9791c459,Численные методы,-
83981d0841bbb56201e68b2cba8dd87d,Методы сжатия и передачи медиаданных,-
840716fde17a536f5e067546ab49a8a7,Компьютерное зрение,Генеративные модели в машинном обучении
840e108d7366fbf4f985f267c74ad523,Компьютерные сети,-
842a87d59de90b711fe3266830fe608c,Проектирование и разработка высоконагруженных сервисов,-
851497aadac83e844753bb3b2163c79b,Промышленное программирование на языке Java,-
86c24daaa62246142d46ee58534a65e0,Анализ данных в бизнесе,-
86d929f6fd741e56e93cee5900298849,Дополнительные главы прикладной статистики,-
86eebda725013685effcb0c97591132e,Машинное обучение 2,-
876b1fbacdfe36cb2e3927aea554b1ff,Анализ данных в бизнесе,-
881b1a6fda195b354ae2edb396a69f5d,Компьютерное зрение,Генеративные модели в машинном обучении
88ae08d9db8d34b267780ed642d0d2db,Дискретная оптимизация,-
8a1162ce3c94d8974210a24f4b4f5f74,Промышленное программирование на языке Java,-
8aa0f1b7331b49464174b02cd693be52,Системы баз данных,-
8c191b9ac692c190f54e66167b0adc3e,Анализ данных в бизнесе,-
8c3aa7371731bef999519c3de2c47423,Методы сжатия и передачи медиаданных,-
8cc921fb155319d983cf72e9a6e8caa8,Методы сжатия и передачи медиаданных,Проектирование и разработка высоконагруженных сервисов
